City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
7,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Carnarvon,AU,86.0,clear sky,-24.87,113.63,Hospitality Carnarvon
13,Port Macquarie,AU,84.0,few clouds,-31.43,152.92,Rydges Port Macquarie
17,Busselton,AU,87.01,clear sky,-33.65,115.33,Observatory Guest House
21,Faanui,PF,80.96,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Biak,ID,83.53,light rain,-0.91,122.88,Penginapan Kim
29,Kandrian,PG,86.27,light rain,-6.22,149.55,Kandrian Station
30,Rikitea,PF,76.98,few clouds,-23.12,-134.97,Pension Maro'i
34,Bambous Virieux,MU,82.99,scattered clouds,-20.34,57.76,Casa Tia Villa
36,Nanakuli,US,75.2,clear sky,21.39,-158.15,Camp Pālehua
43,Marawi,PH,82.99,overcast clouds,8.0,124.29,Derogongan Residence
47,Hithadhoo,MV,83.14,heavy intensity rain,-0.6,73.08,Scoop Guest House
51,Omboue,GA,76.82,few clouds,-1.57,9.26,Hotel Olako
58,Mahebourg,MU,82.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
66,Avarua,CK,80.6,scattered clouds,-21.21,-159.78,Paradise Inn
70,Acarau,BR,78.15,scattered clouds,-2.89,-40.12,castelo pizzaria
74,Alofi,NU,80.6,moderate rain,-19.06,-169.92,Taloa Heights
75,Atuona,PF,78.48,overcast clouds,-9.8,-139.03,Villa Enata
76,Ratnagiri,IN,84.25,broken clouds,16.98,73.3,Hotel Landmark
84,Katobu,ID,82.76,moderate rain,-4.94,122.53,La Ode Husein
93,Pontianak,ID,86.0,few clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
95,Hilo,US,75.2,light rain,19.73,-155.09,Hilo Hawaiian Hotel
98,Salinopolis,BR,79.0,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
100,Poum,NC,82.56,broken clouds,-20.23,164.02,Gîte kajeon
113,Yarada,IN,82.4,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
121,Santa Rosa,PH,84.2,light rain,14.31,121.11,Erlyn’s Sta Rosa City Home
130,Pemangkat,ID,82.78,heavy intensity rain,1.17,108.97,Kost H.Syamsuddin
132,Siocon,PH,84.38,light rain,7.71,122.14,MSWDO
133,Bonthe,SL,78.76,scattered clouds,7.53,-12.51,Bonthe Holiday Village
134,Sao Jose Da Coroa Grande,BR,76.39,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
138,Lorengau,PG,86.22,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
