City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Port Hardy,CA,50.7,-127.42,42.8,93,75,4.7,light intensity shower rain,2021-01-05 06:15:08
1,Ribeira Grande,PT,38.52,-28.7,61.79,85,100,26.91,overcast clouds,2021-01-05 06:16:37
2,Nantucket,US,41.28,-70.1,39.2,86,90,16.11,overcast clouds,2021-01-05 06:16:38
3,Khatanga,RU,71.97,102.5,-11.2,88,96,18.37,overcast clouds,2021-01-05 06:16:38
4,Avera,US,33.19,-82.53,43.0,100,75,3.36,broken clouds,2021-01-05 06:16:38
5,Pingliang,CN,35.54,106.69,25.79,68,64,3.22,broken clouds,2021-01-05 06:16:38
6,Georgetown,MY,5.41,100.34,84.2,78,20,5.82,few clouds,2021-01-05 06:16:39
7,Vaini,TO,-21.2,-175.2,80.6,88,75,11.41,broken clouds,2021-01-05 06:16:39
8,Vila Franca Do Campo,PT,37.72,-25.43,57.2,93,75,18.34,broken clouds,2021-01-05 06:16:39
9,Ponta Do Sol,PT,32.67,-17.1,61.0,82,40,5.82,light rain,2021-01-05 06:16:39
10,Cayenne,GF,4.93,-52.33,73.4,100,0,7.31,light rain,2021-01-05 06:16:40
11,Carnarvon,AU,-24.87,113.63,86.0,62,0,16.11,clear sky,2021-01-05 06:16:40
12,Barinas,VE,8.62,-70.21,70.45,64,24,4.81,few clouds,2021-01-05 06:15:28
13,Port Macquarie,AU,-31.43,152.92,84.0,54,24,1.99,few clouds,2021-01-05 06:16:40
14,Inuvik,CA,68.35,-133.72,-13.0,83,99,4.7,overcast clouds,2021-01-05 06:16:41
15,Yellowknife,CA,62.46,-114.35,-26.0,74,20,3.36,few clouds,2021-01-05 06:13:32
16,Jamestown,US,42.1,-79.24,32.0,100,90,1.16,mist,2021-01-05 06:16:31
17,Busselton,AU,-33.65,115.33,87.01,27,0,4.0,clear sky,2021-01-05 06:16:41
18,Ust-Kut,RU,56.79,105.77,-26.25,78,98,4.74,overcast clouds,2021-01-05 06:16:41
19,Punta Arenas,CL,-53.15,-70.92,48.2,66,40,11.41,scattered clouds,2021-01-05 06:16:42
20,Marystown,CA,47.17,-55.15,30.09,95,100,13.67,overcast clouds,2021-01-05 06:16:42
21,Faanui,PF,-16.48,-151.75,80.96,74,100,17.96,moderate rain,2021-01-05 06:16:42
22,Milledgeville,US,33.08,-83.23,46.99,78,28,4.99,scattered clouds,2021-01-05 06:16:42
23,Ilulissat,GL,69.22,-51.1,8.1,93,100,5.26,overcast clouds,2021-01-05 06:16:42
24,Leh,IN,34.17,77.58,20.66,77,100,1.95,overcast clouds,2021-01-05 06:16:43
25,Geraldton,AU,-28.77,114.6,96.8,16,0,25.28,clear sky,2021-01-05 06:16:43
26,Victoria,HK,22.29,114.16,70.0,51,28,1.41,scattered clouds,2021-01-05 06:16:26
27,Biak,ID,-0.91,122.88,83.53,72,99,5.44,light rain,2021-01-05 06:16:43
28,Elko,US,41.0,-115.5,36.0,96,77,13.0,light snow,2021-01-05 06:16:44
