City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-01-02 00:50:23,42.1,-79.24,33.01,95,90,13.35
1,Atuona,PF,2021-01-02 00:50:24,-9.8,-139.03,78.15,73,0,15.52
2,Auki,SB,2021-01-02 00:50:24,-8.77,160.7,87.49,60,100,1.59
3,Butaritari,KI,2021-01-02 00:50:24,3.07,172.79,80.94,77,89,17.65
4,Pacific Grove,US,2021-01-02 00:50:24,36.62,-121.92,55.4,76,1,5.82
5,San Nicolas,PH,2021-01-02 00:50:25,18.17,120.6,75.2,73,20,6.93
6,Rikitea,PF,2021-01-02 00:50:25,-23.12,-134.97,78.15,69,95,11.27
7,Boissevain,CA,2021-01-02 00:50:25,49.23,-100.06,21.0,100,20,13.87
8,Pevek,RU,2021-01-02 00:50:25,69.7,170.31,-18.67,89,100,5.5
9,Albany,US,2021-01-02 00:49:42,42.6,-73.97,30.99,77,100,8.68
10,Dingle,PH,2021-01-02 00:50:26,11.0,122.67,80.02,84,100,11.86
11,Busselton,AU,2021-01-02 00:50:26,-33.65,115.33,70.0,63,2,10.0
12,The Valley,AI,2021-01-02 00:50:26,18.22,-63.06,78.8,57,40,13.87
13,Yerbogachen,RU,2021-01-02 00:50:26,61.28,108.01,-30.78,81,17,3.76
14,Saint-Philippe,RE,2021-01-02 00:50:27,-21.36,55.77,77.0,69,0,13.87
15,Kihei,US,2021-01-02 00:50:27,20.79,-156.47,82.4,48,40,23.04
16,Kodiak,US,2021-01-02 00:50:27,57.79,-152.41,35.6,74,90,13.87
17,Dunedin,NZ,2021-01-02 00:50:27,-45.87,170.5,54.0,89,100,15.99
18,Yellowknife,CA,2021-01-02 00:45:47,62.46,-114.35,-24.0,67,20,2.24
19,Aquiraz,BR,2021-01-02 00:50:28,-3.9,-38.39,80.6,83,40,9.17
20,Kapaa,US,2021-01-02 00:46:55,22.08,-159.32,78.8,74,40,16.11
21,Tshikapa,CD,2021-01-02 00:50:28,-6.42,20.8,70.16,90,100,0.78
22,Portland,US,2021-01-02 00:49:03,45.52,-122.68,48.99,91,100,4.0
23,Bereda,ES,2021-01-02 00:50:29,43.27,-7.54,36.0,100,83,1.99
24,Dikson,RU,2021-01-02 00:50:29,73.51,80.55,9.43,96,100,18.54
25,Georgiyevskoye,RU,2021-01-02 00:50:29,58.73,45.02,17.44,97,100,8.01
26,Rock Sound,BS,2021-01-02 00:50:30,24.9,-76.2,75.49,79,0,20.56
27,Ushuaia,AR,2021-01-02 00:50:30,-54.8,-68.3,64.4,42,40,12.75
28,Avarua,CK,2021-01-02 00:50:30,-21.21,-159.78,84.2,74,87,17.22
29,Tura,IN,2021-01-02 00:50:31,25.52,90.22,55.74,75,93,2.51
30,Tuktoyaktuk,CA,2021-01-02 00:50:31,69.45,-133.04,-23.8,74,20,10.29
31,Hobart,AU,2021-01-02 00:50:25,-42.88,147.33,78.01,52,20,6.93
32,Cherskiy,RU,2021-01-02 00:50:31,68.75,161.3,-37.43,82,91,1.95
33,Charters Towers,AU,2021-01-02 00:50:31,-20.1,146.27,78.35,79,100,8.39
34,Ketchikan,US,2021-01-02 00:46:33,55.34,-131.65,37.4,100,90,3.36
35,Brigantine,US,2021-01-02 00:50:32,39.41,-74.36,46.0,93,90,11.41
36,Hericourt,FR,2021-01-02 00:50:32,47.57,6.76,33.8,97,90,3.36
37,Peruibe,BR,2021-01-02 00:47:41,-24.32,-47.0,73.38,89,100,7.63
38,Touros,BR,2021-01-02 00:50:32,-5.2,-35.46,77.0,83,20,6.93
39,Cerrito,CO,2021-01-02 00:50:33,6.84,-72.69,69.8,100,40,3.36
40,Corowa,AU,2021-01-02 00:50:33,-36.03,146.38,82.99,41,100,1.99
41,North Bend,US,2021-01-02 00:50:33,43.41,-124.22,50.0,87,90,12.75
42,Saint-Augustin,CA,2021-01-02 00:50:33,51.23,-58.65,5.61,85,0,17.54
43,Kasongo-Lunda,CD,2021-01-02 00:50:34,-6.47,16.82,69.4,88,94,1.45
44,Bulaevo,KZ,2021-01-02 00:50:34,54.91,70.44,-27.98,85,0,3.51
45,Ostrovnoy,RU,2021-01-02 00:50:34,68.05,39.51,16.34,94,100,12.08
46,Guhagar,IN,2021-01-02 00:50:34,17.48,73.19,74.19,73,100,3.15
47,Chapais,CA,2021-01-02 00:50:35,49.78,-74.85,21.2,85,90,8.05
48,Victoria,HK,2021-01-02 00:48:46,22.29,114.16,55.99,40,2,1.01
49,Huaicheng,CN,2021-01-02 00:50:35,23.91,112.19,49.05,46,0,1.05
50,Cambe,BR,2021-01-02 00:46:45,-23.28,-51.28,78.8,83,20,1.48
51,Villarrica,PY,2021-01-02 00:50:36,-25.75,-56.43,71.71,51,0,5.17
52,Orvieto,IT,2021-01-02 00:50:36,42.72,12.11,45.0,87,67,3.0
53,Tasiilaq,GL,2021-01-02 00:50:36,65.61,-37.64,32.0,95,100,20.8
54,Hilo,US,2021-01-02 00:47:12,19.73,-155.09,77.0,73,40,6.93
55,Takoradi,GH,2021-01-02 00:50:37,4.88,-1.76,79.32,87,65,9.64
56,Arraial Do Cabo,BR,2021-01-02 00:50:37,-22.97,-42.03,73.0,92,100,8.77
57,Lisakovsk,KZ,2021-01-02 00:50:37,52.54,62.49,-3.93,91,100,5.37
58,Sechelt,CA,2021-01-02 00:50:38,49.47,-123.77,51.01,90,100,5.01
59,Severo-Kurilsk,RU,2021-01-02 00:50:38,50.68,156.12,28.65,95,100,18.54
60,Bredasdorp,ZA,2021-01-02 00:50:38,-34.53,20.04,53.6,76,58,5.82
61,Itoman,JP,2021-01-02 00:50:39,26.12,127.67,62.6,67,75,17.22
62,Bambous Virieux,MU,2021-01-02 00:50:39,-20.34,57.76,77.0,73,75,12.75
63,Nioki,CD,2021-01-02 00:50:39,-2.72,17.68,72.32,96,100,2.3
64,Tiksi,RU,2021-01-02 00:50:39,71.69,128.87,-17.45,88,100,4.56
65,Hermanus,ZA,2021-01-02 00:50:39,-34.42,19.23,60.01,77,0,1.99
66,Novaya Igirma,RU,2021-01-02 00:50:40,57.13,103.91,-26.72,84,100,2.68
67,Punta Arenas,CL,2021-01-02 00:50:40,-53.15,-70.92,60.8,63,0,21.92
68,Mataura,NZ,2021-01-02 00:50:40,-46.19,168.86,57.0,88,100,10.0
69,Mathathane,BW,2021-01-02 00:50:40,-22.27,28.75,71.71,73,55,22.97
70,Bolu,TR,2021-01-02 00:50:40,40.67,31.58,40.53,80,0,2.93
71,Port Alfred,ZA,2021-01-02 00:50:41,-33.59,26.89,62.01,75,34,3.0
72,Ponta Delgada,PT,2021-01-02 00:50:41,37.73,-25.67,57.2,71,75,13.87
73,Brae,GB,2021-01-02 00:50:41,60.4,-1.35,35.6,74,96,6.93
74,Margate,GB,2021-01-02 00:50:41,51.38,1.39,39.99,90,95,3.0
75,Upernavik,GL,2021-01-02 00:50:41,72.79,-56.15,19.06,87,100,4.94
76,Iqaluit,CA,2021-01-02 00:50:42,63.75,-68.51,-14.01,68,20,4.7
77,Cacule,BR,2021-01-02 00:50:42,-14.5,-42.22,67.5,66,0,2.17
78,Vaini,TO,2021-01-02 00:50:42,-21.2,-175.2,80.6,83,75,11.41
79,Port Blair,IN,2021-01-02 00:50:42,11.67,92.75,78.8,88,40,5.82
80,Aklavik,CA,2021-01-02 00:50:43,68.22,-135.01,-11.2,76,12,4.7
